EXP,PED,HYB,SRC,GROUP,Plot,REP,Range,Row,PDT,DTA,DTS,HDT,PHT,EHT,STC,RLD,SLD,MAH,TWT,GWT,YLD,MST,PROT,OIL,FIB,STA,ASH,DEN
ORG_YieldTrial2022,PHHB9*PHW30,ILORG0003,2019MOB_ORG,ORGOREI,1083,1,6,33,5/31/2022,59,63,10/20/2022,213,109,NA,0,0,23.3,49.8,22.83,208.0583874,7.88,7.25,4.16,1.74,67.58,1.15,1.27
ORG_YieldTrial2022,B73*PHG39-B-B-63-1-1-B-B * PHG35*PHG47-B-B-12-1-1-B-B,UIUC518,2020PR_175-1 X 19MOB_521,NIFAVAL,1089,1,7,31,5/31/2022,57,60,10/20/2022,203,95,NA,0,1,19.7,52.4,20.84,188.9710466,7.57,6.82,3.64,1.96,68.43,1.12,1.25
ORG_YieldTrial2022,B73*MO17,B73*MO17,ILH1,HIP,1053,1,5,35,5/31/2022,62,66,10/20/2022,150,71,NA,0,30,25.8,47.9,19.86,182.0375289,8.07,6.79,3.82,1.99,68.17,1.1,1.25
ORG_YieldTrial2022,B73*PHG35-B-B-6-1-1-B-BxPHG39*PHG47-B-B-4-1-1-B-B,UIUC366,2019MOB_CONV,NIFATOP20,1086,1,7,37,5/31/2022,58,64,10/20/2022,197,72,NA,0,2,19.3,52.8,19.84,179.429801,7.62,7.57,3.94,1.62,67.38,1.13,1.28
ORG_YieldTrial2022,LH195*MO17,LH195*MO17,ILH1,HIP,1155,2,11,31,5/31/2022,62,71,10/20/2022,198,100,NA,0,0,34,45.7,20.7,176.8932969,7.63,7.29,4.78,1.97,66.58,1.17,1.24
ORG_YieldTrial2022,LH195*PHK76,LH195*PHK76,ILH1,HIP,1153,2,11,35,5/31/2022,62,65,10/20/2022,174,79,NA,0,0,25.8,48.2,19.18,174.7104029,NA,NA,NA,NA,NA,NA,NA
ORG_YieldTrial2022,J23/A22,MNT2,2020 Montigomery ,MONT,1154,2,11,33,5/31/2022,62,65,10/20/2022,179,84,NA,0,0,31.4,46.2,19.82,174.1402188,7.81,6.73,3.97,1.43,68.19,1.06,1.3
ORG_YieldTrial2022,SHGD_DH_097/LH195,ISU014,17STHL:AnV_I:1200,ISU,1148,2,10,31,5/31/2022,61,64,10/20/2022,218,112,NA,0,0,28.9,46.8,19.35,173.9474283,8.11,7.98,4.89,1.4,65.99,1.21,1.29
ORG_YieldTrial2022,PHG39*PHZ51,ILORG0015,2019MOB_ORG,ORGOREI,1118,2,9,37,5/31/2022,62,65,10/20/2022,223,87,NA,0,0,22.3,50.5,19.06,173.52651,7.58,7.92,3.19,1.7,68.26,1.1,1.28
ORG_YieldTrial2022,B73*PH207-B-B-9-1-1-B-BxPHG35*PHG39-B-B-30-1-1-B-B,UIUC295,2019MOB_CONV,NIFATOP20,1117,2,8,37,5/31/2022,60,63,10/20/2022,215,97,NA,0,0,21.5,50.9,18.79,171.4715011,7.57,7.42,3.37,1.6,68.14,1.09,1.28
ORG_YieldTrial2022,PHHB9*Q381,ILORG0005,2019MOB_ORG,ORGOREI,1116,2,8,35,5/31/2022,52,56,10/20/2022,180,96,NA,0,0,22,50.9,18.76,170.1072994,7.95,7.75,4.25,1.59,66.79,1.16,1.28
ORG_YieldTrial2022,B73*LH82,ILORG0016,2019MOB_ORG,ORGOREI,1151,2,10,37,5/31/2022,58,63,10/20/2022,185,84,NA,0,0,22.6,50.1,18.4,168.2032385,7.39,6.81,4.19,1.72,67.9,1.16,1.27
ORG_YieldTrial2022,LH195*PHZ51,LH195*PHZ51,ILH1,HIP,1096,1,7,17,5/31/2022,62,68,10/20/2022,202,92,NA,0,1,25,48.7,18.25,166.30621,8,6.51,4.47,1.6,67.63,1.13,1.28
ORG_YieldTrial2022,PHB47*MO17,PHB47*MO17,ILH1,HIP,1054,1,5,33,5/31/2022,58,63,10/20/2022,218,99,NA,0,0,19.7,52.5,18.27,165.3514793,8.26,8.15,4.2,1.76,66.05,1.13,1.27
ORG_YieldTrial2022,PHHB9*PHM49,ILORG0001,2019MOB_ORG,ORGOREI,1182,2,12,31,5/31/2022,62,68,10/20/2022,199,85,NA,0,0,29.6,46.9,18.53,164.5843479,7.45,6.48,3.62,1.75,68.8,1.14,1.27
ORG_YieldTrial2022,PHG35*PHG47-B-B-9-1-1-B-B * B73*PH207-B-B-20-1-1-B-B,UIUC539,19MOB_774 X 19MOB_678,NIFAVAL,1077,1,6,21,5/31/2022,60,65,10/20/2022,194,80,NA,0,0,26.6,47.7,17.74,161.5268009,7.59,6.79,4.52,2,67.27,1.2,1.25
ORG_YieldTrial2022,B73*PHG39-B-B-18-1-1-B-B * PHG35*PHG47-B-B-10-1-1-B-B,UIUC522,19MOB_334 X 19MOB_255,NIFAVAL,1158,2,11,25,5/31/2022,62,65,10/20/2022,165,67,NA,0,0,23.6,49.8,17.63,160.0403983,8.125,6.55,5,2.255,67.125,1.14,1.22
ORG_YieldTrial2022,B73*PHG39-B-B-30-1-1-B-B X PHG35*PHG47-B-B-24-1-1-B-B,UIUC121,2019MOB_CONV,NIFABOT19,1082,1,6,31,5/31/2022,55,59,10/20/2022,191,93,NA,0,0,17.7,54.4,17.82,159.5224939,7.84,7.48,4.14,1.79,66.72,1.04,1.26
ORG_YieldTrial2022,B73*PH207-B-B-12-1-1-B-B * PHG35*PHG47-B-B-28-1-1-B-B,UIUC500,19MOB_875 X 19MOB_687,NIFAVAL,1062,1,5,17,5/31/2022,58,62,10/20/2022,172,92,NA,0,1,24.2,49.2,17.42,158.8055034,7.4,6.77,3.27,1.48,68.51,1.07,1.29
ORG_YieldTrial2022,PHW52*Q381,ILORG0008,2019MOB_ORG,ORGOREI,1055,1,5,31,5/31/2022,52,55,10/20/2022,215,105,NA,0,0,19.9,52.6,17.47,157.417486,7.81,8.33,3.7,1.56,66.79,1.13,1.29
ORG_YieldTrial2022,B73*LH82-B-B-3-1-1-B-B X B73*PHG47-B-B-25-1-1-B-B,UIUC256,2019MOB_CONV,NIFATOP19,1088,1,7,33,5/31/2022,56,62,10/20/2022,166,85,NA,0,0,18.3,53.9,17.52,157.1378072,7.75,7.51,3.3,1.5,68.38,1.11,1.3
ORG_YieldTrial2022,LH244*PHK76,LH244*PHK76,ILH1,HIP,1051,1,4,37,5/31/2022,57,64,10/20/2022,197,100,NA,0,0,20.1,52.3,17.3,156.3883829,7.78,6.06,4.16,1.73,68.15,1.12,1.27
ORG_YieldTrial2022,17.2B24,ORG4,2020 Mandaamin,MAN,1084,1,6,35,5/31/2022,59,64,10/20/2022,195,100,NA,0,0,26,47.6,16.87,155.1862165,8.4,8.03,5.81,2.65,64.5,1.24,1.18
ORG_YieldTrial2022,B73*PHG39-B-B-58-1-1-B-BxLH82*PHG35-B-B-21-1-1-B-B,UIUC160,2019MOB_CONV,NIFATOP20,1184,2,12,35,5/31/2022,62,68,10/20/2022,157,63,NA,0,2,28.6,47.1,16.83,150.9644594,7.76,6.68,3.97,1.83,68.28,1.08,1.26
ORG_YieldTrial2022,B73*PHG39-B-B-58-1-1-B-BxLH82*PHG35-B-B-21-1-1-B-B,UIUC160,2019MOB_CONV,NIFATOP20,1095,1,7,19,5/31/2022,58,63,10/20/2022,167,73,NA,0,2,25,48.6,16.47,150.3944773,7.82,6.51,3.3,1.91,68.96,1.06,1.26
ORG_YieldTrial2022,[B73/B89)-013-1/2/B84/B89)-037-1]02)-05-03-01-01-01-B-B-B-B-01///OH 622:4366)-01I01,ISU013,19SJWE:BREED:23018/23016 B,ISU,1063,1,5,15,5/31/2022,60,63,10/20/2022,169,85,NA,0,0,20.7,51.7,16.55,150.2083023,7.2,6.55,3.95,2.02,68.32,1.08,1.25
ORG_YieldTrial2022,LH195*PHK76,LH195*PHK76,ILH1,HIP,1092,1,7,25,5/31/2022,61,63,10/20/2022,82,82,NA,0,1,22.7,50.4,16.46,149.3798723,7.84,6.9,3.73,1.34,67.67,1.09,1.31
ORG_YieldTrial2022,PHG35*PHG47-B-B-28-1-1-B-B * B73*PHG39-B-B-8-1-1-B-B,UIUC526,19MOB_333 X 19MOB_687,NIFAVAL,1076,1,6,19,5/31/2022,60,63,10/20/2022,188,83,NA,0,0,27.4,47.6,16.41,148.0988017,7.9,6.7,3.27,1.65,68.26,1,1.28
ORG_YieldTrial2022,PHHB9*PHW30,ILORG0003,2019MOB_ORG,ORGOREI,1103,2,8,9,5/31/2022,60,63,10/20/2022,184,82,NA,0,0,20.4,52.2,16.28,146.8960983,7.92,6.55,3.89,1.7,68.44,1.07,1.27
ORG_YieldTrial2022,LH82*PHG35-B-B-30-1-1-B-B * B73*PHG39-B-B-18-1-1-B-B,UIUC524,19MOB_334 X 19MOB_590,NIFAVAL,1126,2,9,21,5/31/2022,58,63,10/20/2022,160,76,NA,0,0,23.4,50.1,16.22,146.7422551,7.72,6.7,3.8,1.52,68.3,1.09,1.29
ORG_YieldTrial2022,B73*PHG39-B-B-61-1-1-B-B X PHG35*PHG47-B-B-20-1-1-B-B,UIUC214,2019MOB_CONV,NIFATOP19,1074,1,6,15,5/31/2022,55,62,10/20/2022,207,102,NA,0,2,19.6,52.9,16.24,146.049373,7.57,7.57,3.69,1.57,66.65,1.03,1.29
ORG_YieldTrial2022,LH244*PHK76,LH244*PHK76,ILH1,HIP,1167,2,11,7,5/31/2022,55,58,10/20/2022,195,103,NA,0,0,17.2,55.6,16.53,145.6604657,7.47,6.03,4.61,1.86,67.69,1.08,1.25
ORG_YieldTrial2022,PHB47*PHZ51,PHB47*PHZ51,ILH1,HIP,1052,1,5,37,5/31/2022,58,64,10/20/2022,175,85,NA,0,0,15.8,57,16.64,145.4466937,7.84,7.75,3.76,1.56,67.09,1.06,1.28
ORG_YieldTrial2022,B73*PHG84,ILORG0010,2019MOB_ORG,ORGOREI,1048,1,4,31,5/31/2022,61,67,10/20/2022,177,73,NA,0,1,27,47.6,15.95,144.7404406,7.47,6.39,4.28,1.7,68.46,1.09,1.27
ORG_YieldTrial2022,B73*PHG39-B-B-18-1-1-B-B * LH82*PHG47-B-B-18-1-1-B-B-B,UIUC515,19MOB_334 X 13URN100-S:8851,NIFAVAL,1025,1,3,23,5/31/2022,55,59,10/20/2022,179,93,NA,0,0,23,50.1,15.83,143.9617806,7.89,6.16,3.62,1.86,68.83,1.11,1.27
ORG_YieldTrial2022,LH244*MO17,LH244*MO17,ILH1,HIP,1124,2,9,25,5/31/2022,62,67,10/20/2022,198,92,NA,0,0,25.8,48.3,15.81,143.7149473,7.93,6.36,4.18,2.09,68.07,1.06,1.24
ORG_YieldTrial2022,PHHB9*PHZ51,ILORG0004,2019MOB_ORG,ORGOREI,1060,1,5,21,5/31/2022,61,64,10/20/2022,195,80,NA,0,0,21.6,51,15.75,143.2648799,7.8,6.37,3.99,2.02,68.39,1.12,1.24
ORG_YieldTrial2022,B73*PHG39-B-B-23-1-1-B-B X PH207*PHG47-B-B-20-1-1-B-B,UIUC88,2019MOB_CONV,NIFABOT19,1050,1,4,35,5/31/2022,59,64,10/20/2022,191,87,NA,0,1,17.6,54.5,15.9,142.2463493,8.01,6.97,4.46,1.76,67.83,1.16,1.27
ORG_YieldTrial2022,B73*LH82-B-B-10-1-1-B-B X B73*PHG47-B-B-10-1-1-B-B,UIUC241,2019MOB_CONV,NIFATOP19,1020,1,3,33,5/31/2022,58,64,10/20/2022,187,95,NA,0,0,21.1,51.3,15.4,140.1501782,NA,NA,NA,NA,NA,NA,NA
ORG_YieldTrial2022,B73*PHK76,B73*PHK76,ILH1,HIP,1136,2,10,7,5/31/2022,58,61,10/20/2022,194,97,NA,0,0,18.8,54,15.58,138.6254657,7.69,5.78,4.31,1.71,68.34,1.08,1.27
ORG_YieldTrial2022,B73*PHG47,ILORG0012,2019MOB_ORG,ORGOREI,1097,1,7,15,5/31/2022,58,63,10/20/2022,181,73,NA,0,0,19.5,52.8,15.35,138.4789089,7.85,6.6,4.14,1.85,67.98,1.1,1.26
ORG_YieldTrial2022,B73*LH82-B-B-5-1-1-B-B X B73*PHG35-B-B-4-1-1-B-B,UIUC236,2019MOB_CONV,NIFATOP19,1152,2,11,37,5/31/2022,62,67,10/20/2022,174,96,NA,0,2,26.1,48,15.16,138.107002,7.69,7.24,4.77,1.7,66.67,1.12,1.26
ORG_YieldTrial2022,PHG39*PHG47,ILORG0014,2019MOB_ORG,ORGOREI,1186,2,13,37,5/31/2022,58,60,10/20/2022,189,91,NA,0,0,19.7,52.5,15.24,137.928656,7.84,7.16,3.68,1.64,68.22,1.05,1.28
ORG_YieldTrial2022,LH82*PH207-B-B-29-1-1-B-B X PHG35*PHG47-B-B-24-1-1-B-B,UIUC388,2019MOB_CONV,NIFATOP19,1087,1,7,35,5/31/2022,59,63,10/20/2022,154,89,NA,0,0,17,55.3,15.51,137.7457012,7.54,7.14,3.59,1.68,68.43,1.14,1.28
ORG_YieldTrial2022,B73*PHG39-B-B-18-1-1-B-BxLH82*PHG47-B-B-12-1-1-B-B,UIUC53,2019MOB_CONV,NIFATOP20,1145,2,10,25,5/31/2022,58,64,10/20/2022,166,88,NA,0,0,19.6,53,15.33,137.6054483,7.64,6.62,3.73,1.42,68.94,1.09,1.3
ORG_YieldTrial2022,B73*PHG39-B-B-18-1-1-B-B * LH82*PHG47-B-B-18-1-1-B-B-B,UIUC515,19MOB_334 X 13URN100-S:8851,NIFAVAL,1193,2,13,23,5/31/2022,58,63,10/20/2022,148,69,NA,0,0,23.3,49.8,15.01,136.7917825,7.62,5.88,4.2,1.99,68.76,1.13,1.25
ORG_YieldTrial2022,LH244*MO17,LH244*MO17,ILH1,HIP,1021,1,3,31,5/31/2022,61,68,10/20/2022,209,118,NA,0,0,25.7,47.9,14.76,135.473064,7.96,6.17,5.01,2.32,67.15,1.11,1.21
ORG_YieldTrial2022,PHP38*Q381,ILORG0006,2019MOB_ORG,ORGOREI,1119,2,9,35,5/31/2022,52,58,10/20/2022,186,92,NA,0,0,18.5,54.2,15.22,135.4210791,7.77,7.8,3.79,1.47,66.96,1.11,1.29
ORG_YieldTrial2022,B73*PHG39-B-B-3-1-1-B-B X PH207*PHG47-B-B-3-1-1-B-B,UIUC97,2019MOB_CONV,NIFABOT19,1049,1,4,33,5/31/2022,58,64,10/20/2022,107,83,NA,0,0,18.1,54.2,15.11,135.1021856,7.85,7.46,4.52,1.54,66.85,1.13,1.28
ORG_YieldTrial2022,B73*PHG39-B-B-30-1-1-B-B X PHG35*PHG47-B-B-24-1-1-B-B,UIUC121,2019MOB_CONV,NIFABOT19,1189,2,13,31,5/31/2022,61,64,10/20/2022,183,76,NA,0,0,21.1,51.1,14.78,135.0342176,8,7.5,3.89,1.68,66.65,1.03,1.27
ORG_YieldTrial2022,LH195*PHZ51,LH195*PHZ51,ILH1,HIP,1141,2,10,17,5/31/2022,62,67,10/20/2022,206,102,NA,0,0,26.2,48.1,14.83,134.6374048,7.65,6.97,4.33,1.65,67.33,1.15,1.27
ORG_YieldTrial2022,B73*PHG39-B-B-24-1-1-B-B X PH207*PHG47-B-B-21-1-1-B-B,UIUC89,2019MOB_CONV,NIFABOT19,1085,1,6,37,5/31/2022,57,62,10/20/2022,213,116,NA,0,0,16,56.6,15.26,134.0079871,7.48,8.11,4.73,1.43,66.17,1.18,1.29
